cluster,loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,term_months,cluster,default_rate,med_ann_ret,top_grade,top_purpose,top_home_ownership,top_verification_status
0,18000.0,16.59,68000.0,19.26,0.0,11.0,0.0,14509.0,61.4,60.0,0.0,0.277,0.0478,"D, C, E","debt_consolidation, credit_card, home_improvement","MORTGAGE, RENT, OWN","Source Verified, Verified, Not Verified"
1,24000.0,10.99,111000.0,16.64,0.0,14.0,0.0,26582.0,59.3,36.0,1.0,0.107,0.0407,"B, A, C","debt_consolidation, credit_card, home_improvement","MORTGAGE, RENT, OWN","Source Verified, Verified, Not Verified"
2,9000.0,12.85,52860.0,17.01,0.0,10.0,0.0,8265.0,52.5,36.0,2.0,0.145,0.0452,"B, C, A","debt_consolidation, credit_card, other","RENT, MORTGAGE, OWN","Not Verified, Source Verified, Verified"
