index,cohort,grade,term_months,N,default_share,m1_mean,m1_median,m1_p25,m1_p75,m1_std,m1_pos_share,m2_mean,m2_median,m2_p25,m2_p75,m2_std,m2_pos_share,m3_mean,m3_median,m3_p25,m3_p75,m3_std,m3_pos_share
0,2014,A,36.0,35333.0,0.05383069651600487,0.021290743804554212,0.030368398382854895,0.021331729185519774,0.03686318777140943,0.03894261650268181,0.9433673902583987,0.021290743804554212,0.030368398382854895,0.021331729185519774,0.03686318777140943,0.03894261650268181,0.9433673902583987,0.019200512801554603,0.02607911934200402,0.020928806046728532,0.0297178534442466,0.03270885343036236,0.9531033311635015
14,2015,A,36.0,70132.0,0.0542833513945132,0.019118726275805648,0.02820504826308272,0.020588741712376492,0.03321514007926958,0.03921355478445703,0.9422374950094108,0.019118726275805648,0.02820504826308272,0.020588741712376492,0.03321514007926958,0.03921355478445703,0.9422374950094108,0.01781280204159213,0.024855551500656325,0.020500698619286994,0.02768036536706414,0.034619181181343904,0.9524753322306507
1,2014,A,60.0,775.0,0.06709677419354838,0.026856905640103883,0.03637664041532528,0.025023997916666665,0.041829995386647265,0.030382733407201937,0.9470967741935484,0.026856905640103883,0.03637664041532528,0.025023997916666665,0.041829995386647265,0.030382733407201937,0.9470967741935484,0.028953613455117714,0.04013325299749959,0.029944533715408617,0.044888870389813484,0.0415984629670729,0.9470967741935484
15,2015,A,60.0,3204.0,0.07365792759051186,0.02309987250150145,0.03317007596288813,0.020142778728295327,0.039595901956974947,0.031601325407422554,0.9322721598002497,0.02309987250150145,0.03317007596288813,0.020142778728295327,0.039595901956974947,0.031601325407422554,0.9322721598002497,0.025176963616370795,0.03729583148990079,0.02543694080875547,0.04295110099207067,0.04404888237422419,0.9382022471910112
2,2014,B,36.0,53460.0,0.10723905723905724,0.028280786280357375,0.04598672461322573,0.028402147916666655,0.05559486121507224,0.0585804592885893,0.899850355405911,0.028280786280357375,0.04598672461322573,0.028402147916666655,0.05559486121507224,0.0585804592885893,0.899850355405911,0.02117142343782393,0.03474404976869172,0.024967271109635536,0.03993372256142402,0.048656973840455975,0.9092405536849981
16,2015,B,36.0,91783.0,0.11906344312127518,0.021247986473514356,0.04005838428064584,0.024695656666666663,0.04957882813964137,0.0611251779532455,0.8854798818953401,0.021247986473514356,0.04005838428064584,0.024695656666666663,0.04957882813964137,0.0611251779532455,0.8854798818953401,0.016636211261774433,0.031489264114220594,0.022858161323948467,0.03669644206860545,0.052005654380710156,0.8977697394942419
3,2014,B,60.0,8475.0,0.13474926253687317,0.029772397191672163,0.04454315236781782,0.024024308750000004,0.057045131274521016,0.04623721188678793,0.8854277286135693,0.029772397191672163,0.04454315236781782,0.024024308750000004,0.057045131274521016,0.04623721188678793,0.8854277286135693,0.028594211121210304,0.04722299778568129,0.029027779077016147,0.057718124389154024,0.059744355032240744,0.8922713864306785
17,2015,B,60.0,25823.0,0.14301204352708827,0.02467033220048523,0.04052838295507779,0.02090650245831145,0.05128087222923113,0.046638055870306665,0.8730589009797467,0.02467033220048523,0.04052838295507779,0.02090650245831145,0.05128087222923113,0.046638055870306665,0.8730589009797467,0.023355088963471677,0.043761650488634896,0.026147448791026262,0.05293110612947982,0.06361447016803239,0.8819656895016071
4,2014,C,36.0,44042.0,0.1719495027473775,0.027462873219729535,0.05961605993589742,0.02586289809523811,0.07088767679240895,0.07787402230992013,0.8488488261205214,0.027462873219729535,0.05961605993589742,0.02586289809523811,0.07088767679240895,0.07787402230992013,0.8488488261205214,0.01785327680715858,0.04207529637225049,0.02352423503919776,0.04798617298929292,0.06490817378571041,0.8567503746423868
18,2015,C,36.0,77457.0,0.19448209974566533,0.018809337268916784,0.05469114441995265,0.018723454166666594,0.0649832657707449,0.08294487977454147,0.8204810410937682,0.018809337268916784,0.05469114441995265,0.018723454166666594,0.0649832657707449,0.08294487977454147,0.8204810410937682,0.011795904446686581,0.03944999301963148,0.019422747847449795,0.04490656330069065,0.06922091524525183,0.8351859741534012
5,2014,C,60.0,22523.0,0.21289348665808286,0.030752706061385617,0.053223359095151024,0.017256731371428562,0.0724958418044081,0.06085326413669414,0.8229365537450606,0.030752706061385617,0.053223359095151024,0.017256731371428562,0.0724958418044081,0.06085326413669414,0.8229365537450606,0.02580748651914661,0.05455399898285451,0.022734055898632755,0.07013864021060168,0.07619834619059904,0.827376459619056
